Frame,VehicleCount,Status
1,4,LOW
2,4,LOW
3,4,LOW
4,5,LOW
5,4,LOW
6,3,LOW
7,4,LOW
8,4,LOW
9,3,LOW
10,3,LOW
11,4,LOW
12,6,MEDIUM
13,6,MEDIUM
14,5,LOW
15,6,MEDIUM
16,4,LOW
17,4,LOW
18,4,LOW
19,5,LOW
20,5,LOW
21,4,LOW
22,6,MEDIUM
23,5,LOW
24,4,LOW
25,5,LOW
26,6,MEDIUM
27,6,MEDIUM
28,7,MEDIUM
29,7,MEDIUM
30,7,MEDIUM
31,7,MEDIUM
32,8,MEDIUM
33,7,MEDIUM
34,7,MEDIUM
35,7,MEDIUM
36,6,MEDIUM
37,8,MEDIUM
38,8,MEDIUM
39,8,MEDIUM
40,8,MEDIUM
41,7,MEDIUM
42,7,MEDIUM
43,6,MEDIUM
44,10,MEDIUM
45,8,MEDIUM
46,7,MEDIUM
47,7,MEDIUM
48,9,MEDIUM
49,9,MEDIUM
50,9,MEDIUM
51,9,MEDIUM
52,8,MEDIUM
53,8,MEDIUM
54,8,MEDIUM
55,8,MEDIUM
56,8,MEDIUM
57,9,MEDIUM
58,8,MEDIUM
59,8,MEDIUM
60,8,MEDIUM
61,7,MEDIUM
62,7,MEDIUM
63,7,MEDIUM
64,8,MEDIUM
65,5,LOW
66,7,MEDIUM
67,6,MEDIUM
68,7,MEDIUM
69,6,MEDIUM
70,6,MEDIUM
71,6,MEDIUM
72,6,MEDIUM
73,6,MEDIUM
74,5,LOW
75,5,LOW
76,5,LOW
77,5,LOW
78,6,MEDIUM
79,5,LOW
80,4,LOW
81,4,LOW
82,5,LOW
83,7,MEDIUM
84,7,MEDIUM
85,6,MEDIUM
86,7,MEDIUM
87,6,MEDIUM
88,7,MEDIUM
89,7,MEDIUM
90,6,MEDIUM
91,6,MEDIUM
92,5,LOW
93,4,LOW
94,7,MEDIUM
95,7,MEDIUM
96,7,MEDIUM
97,8,MEDIUM
98,8,MEDIUM
99,9,MEDIUM
100,9,MEDIUM
101,9,MEDIUM
102,9,MEDIUM
103,10,MEDIUM
104,9,MEDIUM
105,9,MEDIUM
106,9,MEDIUM
107,8,MEDIUM
108,8,MEDIUM
109,8,MEDIUM
110,8,MEDIUM
111,8,MEDIUM
112,8,MEDIUM
113,8,MEDIUM
114,8,MEDIUM
115,8,MEDIUM
116,8,MEDIUM
117,8,MEDIUM
118,7,MEDIUM
119,7,MEDIUM
120,8,MEDIUM
121,8,MEDIUM
122,9,MEDIUM
123,8,MEDIUM
124,8,MEDIUM
125,9,MEDIUM
126,8,MEDIUM
127,8,MEDIUM
128,10,MEDIUM
129,10,MEDIUM
130,10,MEDIUM
131,9,MEDIUM
132,9,MEDIUM
133,8,MEDIUM
134,8,MEDIUM
135,9,MEDIUM
136,10,MEDIUM
137,9,MEDIUM
138,8,MEDIUM
139,8,MEDIUM
140,7,MEDIUM
141,8,MEDIUM
142,8,MEDIUM
143,9,MEDIUM
144,8,MEDIUM
145,8,MEDIUM
146,9,MEDIUM
147,9,MEDIUM
148,9,MEDIUM
149,10,MEDIUM
150,9,MEDIUM
151,9,MEDIUM
152,9,MEDIUM
153,9,MEDIUM
154,8,MEDIUM
155,8,MEDIUM
156,7,MEDIUM
157,8,MEDIUM
158,8,MEDIUM
159,8,MEDIUM
160,8,MEDIUM
161,8,MEDIUM
162,9,MEDIUM
163,8,MEDIUM
164,9,MEDIUM
165,8,MEDIUM
166,8,MEDIUM
167,8,MEDIUM
168,7,MEDIUM
169,8,MEDIUM
170,8,MEDIUM
171,9,MEDIUM
172,8,MEDIUM
173,7,MEDIUM
174,7,MEDIUM
175,7,MEDIUM
176,5,LOW
177,6,MEDIUM
178,7,MEDIUM
179,7,MEDIUM
180,7,MEDIUM
181,6,MEDIUM
182,5,LOW
183,6,MEDIUM
184,6,MEDIUM
185,6,MEDIUM
186,6,MEDIUM
187,6,MEDIUM
188,6,MEDIUM
189,6,MEDIUM
190,6,MEDIUM
191,7,MEDIUM
192,5,LOW
193,5,LOW
194,6,MEDIUM
195,6,MEDIUM
196,6,MEDIUM
197,6,MEDIUM
198,6,MEDIUM
199,6,MEDIUM
200,6,MEDIUM
201,5,LOW
202,5,LOW
203,5,LOW
204,5,LOW
205,4,LOW
206,4,LOW
207,4,LOW
208,4,LOW
209,4,LOW
210,4,LOW
211,4,LOW
212,4,LOW
213,4,LOW
214,4,LOW
215,4,LOW
216,4,LOW
217,4,LOW
218,4,LOW
219,4,LOW
220,6,MEDIUM
221,5,LOW
222,5,LOW
223,5,LOW
224,5,LOW
225,4,LOW
226,4,LOW
227,4,LOW
228,5,LOW
229,6,MEDIUM
230,6,MEDIUM
231,6,MEDIUM
232,6,MEDIUM
233,6,MEDIUM
234,5,LOW
235,5,LOW
236,5,LOW
237,4,LOW
238,4,LOW
239,4,LOW
240,4,LOW
241,4,LOW
242,4,LOW
243,3,LOW
244,3,LOW
245,2,LOW
246,2,LOW
247,2,LOW
248,3,LOW
249,3,LOW
250,2,LOW
251,4,LOW
252,4,LOW
253,4,LOW
254,2,LOW
255,3,LOW
256,3,LOW
257,2,LOW
258,3,LOW
259,3,LOW
260,3,LOW
261,4,LOW
262,5,LOW
263,5,LOW
264,3,LOW
265,4,LOW
266,4,LOW
267,4,LOW
268,2,LOW
269,2,LOW
270,3,LOW
271,3,LOW
272,3,LOW
273,6,MEDIUM
274,6,MEDIUM
275,4,LOW
276,4,LOW
277,4,LOW
278,5,LOW
279,5,LOW
280,4,LOW
281,4,LOW
282,5,LOW
283,5,LOW
284,5,LOW
285,6,MEDIUM
286,6,MEDIUM
287,5,LOW
288,6,MEDIUM
289,5,LOW
290,3,LOW
291,3,LOW
292,4,LOW
293,4,LOW
294,4,LOW
295,5,LOW
296,7,MEDIUM
297,7,MEDIUM
298,6,MEDIUM
299,7,MEDIUM
300,7,MEDIUM
301,6,MEDIUM
302,6,MEDIUM
303,7,MEDIUM
304,7,MEDIUM
305,6,MEDIUM
306,6,MEDIUM
307,6,MEDIUM
308,6,MEDIUM
309,6,MEDIUM
310,6,MEDIUM
311,6,MEDIUM
312,6,MEDIUM
313,6,MEDIUM
314,6,MEDIUM
315,6,MEDIUM
316,6,MEDIUM
317,6,MEDIUM
318,7,MEDIUM
319,7,MEDIUM
320,7,MEDIUM
321,7,MEDIUM
322,7,MEDIUM
323,7,MEDIUM
324,6,MEDIUM
325,8,MEDIUM
326,7,MEDIUM
327,7,MEDIUM
328,6,MEDIUM
329,7,MEDIUM
330,8,MEDIUM
331,6,MEDIUM
332,6,MEDIUM
333,7,MEDIUM
334,6,MEDIUM
335,6,MEDIUM
336,6,MEDIUM
337,4,LOW
338,5,LOW
339,7,MEDIUM
340,6,MEDIUM
341,6,MEDIUM
342,5,LOW
343,5,LOW
344,6,MEDIUM
345,7,MEDIUM
346,6,MEDIUM
347,6,MEDIUM
348,6,MEDIUM
349,6,MEDIUM
350,6,MEDIUM
351,6,MEDIUM
352,7,MEDIUM
353,6,MEDIUM
354,7,MEDIUM
355,8,MEDIUM
356,9,MEDIUM
357,9,MEDIUM
358,8,MEDIUM
359,8,MEDIUM
360,7,MEDIUM
361,7,MEDIUM
362,6,MEDIUM
363,8,MEDIUM
364,6,MEDIUM
365,8,MEDIUM
366,9,MEDIUM
367,8,MEDIUM
368,7,MEDIUM
369,6,MEDIUM
370,7,MEDIUM
371,7,MEDIUM
372,7,MEDIUM
373,7,MEDIUM
374,7,MEDIUM
375,7,MEDIUM
376,7,MEDIUM
377,6,MEDIUM
378,7,MEDIUM
379,9,MEDIUM
380,8,MEDIUM
381,8,MEDIUM
382,8,MEDIUM
383,8,MEDIUM
384,8,MEDIUM
385,8,MEDIUM
386,8,MEDIUM
387,8,MEDIUM
388,9,MEDIUM
389,9,MEDIUM
390,9,MEDIUM
391,9,MEDIUM
392,9,MEDIUM
393,9,MEDIUM
394,10,MEDIUM
395,9,MEDIUM
396,9,MEDIUM
397,9,MEDIUM
398,9,MEDIUM
399,9,MEDIUM
400,9,MEDIUM
401,10,MEDIUM
402,10,MEDIUM
403,9,MEDIUM
404,9,MEDIUM
405,10,MEDIUM
406,10,MEDIUM
407,10,MEDIUM
408,11,MEDIUM
409,9,MEDIUM
410,9,MEDIUM
411,9,MEDIUM
412,9,MEDIUM
413,9,MEDIUM
414,7,MEDIUM
415,7,MEDIUM
416,7,MEDIUM
417,8,MEDIUM
418,8,MEDIUM
419,8,MEDIUM
420,9,MEDIUM
421,9,MEDIUM
422,8,MEDIUM
423,8,MEDIUM
424,8,MEDIUM
425,8,MEDIUM
426,8,MEDIUM
427,8,MEDIUM
428,7,MEDIUM
429,7,MEDIUM
430,7,MEDIUM
431,8,MEDIUM
432,8,MEDIUM
433,7,MEDIUM
434,7,MEDIUM
435,8,MEDIUM
436,7,MEDIUM
437,7,MEDIUM
438,7,MEDIUM
439,6,MEDIUM
440,6,MEDIUM
441,7,MEDIUM
442,6,MEDIUM
443,6,MEDIUM
444,5,LOW
445,5,LOW
446,5,LOW
447,5,LOW
448,4,LOW
449,5,LOW
450,4,LOW
451,5,LOW
452,6,MEDIUM
453,5,LOW
454,6,MEDIUM
455,7,MEDIUM
456,6,MEDIUM
457,6,MEDIUM
458,6,MEDIUM
459,5,LOW
460,5,LOW
461,5,LOW
462,5,LOW
463,5,LOW
464,6,MEDIUM
465,6,MEDIUM
466,5,LOW
467,5,LOW
468,4,LOW
469,5,LOW
470,4,LOW
471,4,LOW
472,4,LOW
473,5,LOW
474,4,LOW
475,4,LOW
476,4,LOW
477,4,LOW
478,4,LOW
479,5,LOW
480,4,LOW
481,4,LOW
482,3,LOW
483,4,LOW
484,4,LOW
485,4,LOW
486,2,LOW
487,2,LOW
488,2,LOW
489,2,LOW
490,2,LOW
491,2,LOW
492,3,LOW
493,2,LOW
494,2,LOW
495,2,LOW
496,4,LOW
497,5,LOW
498,5,LOW
499,5,LOW
500,2,LOW
501,3,LOW
502,4,LOW
503,4,LOW
504,3,LOW
505,3,LOW
506,3,LOW
507,3,LOW
508,3,LOW
509,2,LOW
510,2,LOW
511,3,LOW
512,3,LOW
513,3,LOW
514,3,LOW
515,3,LOW
516,3,LOW
517,3,LOW
518,3,LOW
519,3,LOW
520,4,LOW
521,3,LOW
522,3,LOW
523,2,LOW
524,2,LOW
525,2,LOW
526,2,LOW
527,4,LOW
528,3,LOW
529,3,LOW
530,3,LOW
531,3,LOW
532,3,LOW
533,4,LOW
534,3,LOW
535,3,LOW
536,3,LOW
537,3,LOW
538,4,LOW
539,4,LOW
540,3,LOW
541,3,LOW
542,3,LOW
543,4,LOW
544,3,LOW
545,3,LOW
546,4,LOW
547,3,LOW
548,3,LOW
549,3,LOW
550,3,LOW
551,3,LOW
552,3,LOW
553,3,LOW
554,3,LOW
555,4,LOW
556,4,LOW
557,4,LOW
558,4,LOW
559,4,LOW
560,5,LOW
561,4,LOW
562,4,LOW
563,4,LOW
564,4,LOW
565,4,LOW
566,3,LOW
567,3,LOW
568,3,LOW
569,3,LOW
570,2,LOW
571,3,LOW
572,3,LOW
573,5,LOW
574,4,LOW
575,4,LOW
576,3,LOW
577,4,LOW
578,3,LOW
579,3,LOW
580,3,LOW
581,3,LOW
582,4,LOW
583,4,LOW
584,5,LOW
585,7,MEDIUM
586,6,MEDIUM
587,6,MEDIUM
588,6,MEDIUM
589,5,LOW
590,3,LOW
591,4,LOW
592,4,LOW
593,5,LOW
594,3,LOW
595,4,LOW
596,3,LOW
597,4,LOW
598,5,LOW
599,5,LOW
600,4,LOW
601,4,LOW
602,5,LOW
603,5,LOW
604,4,LOW
605,6,MEDIUM
606,5,LOW
607,5,LOW
608,4,LOW
609,3,LOW
610,4,LOW
611,5,LOW
612,5,LOW
613,4,LOW
614,6,MEDIUM
615,7,MEDIUM
616,7,MEDIUM
617,6,MEDIUM
618,6,MEDIUM
619,4,LOW
620,4,LOW
621,5,LOW
622,5,LOW
623,6,MEDIUM
624,5,LOW
625,5,LOW
626,5,LOW
627,6,MEDIUM
628,6,MEDIUM
629,5,LOW
630,5,LOW
631,5,LOW
632,5,LOW
633,5,LOW
634,6,MEDIUM
635,4,LOW
636,5,LOW
637,6,MEDIUM
638,6,MEDIUM
639,7,MEDIUM
640,8,MEDIUM
641,6,MEDIUM
642,7,MEDIUM
643,6,MEDIUM
644,7,MEDIUM
645,6,MEDIUM
646,5,LOW
647,5,LOW
648,6,MEDIUM
649,5,LOW
650,5,LOW
651,5,LOW
652,6,MEDIUM
653,5,LOW
654,6,MEDIUM
655,6,MEDIUM
656,8,MEDIUM
657,8,MEDIUM
658,9,MEDIUM
659,8,MEDIUM
660,8,MEDIUM
661,8,MEDIUM
662,8,MEDIUM
663,8,MEDIUM
664,9,MEDIUM
665,9,MEDIUM
666,7,MEDIUM
667,8,MEDIUM
668,8,MEDIUM
669,7,MEDIUM
670,7,MEDIUM
671,7,MEDIUM
672,6,MEDIUM
673,8,MEDIUM
674,7,MEDIUM
675,7,MEDIUM
676,8,MEDIUM
677,8,MEDIUM
678,8,MEDIUM
679,8,MEDIUM
680,6,MEDIUM
681,6,MEDIUM
682,9,MEDIUM
683,7,MEDIUM
684,6,MEDIUM
685,6,MEDIUM
686,6,MEDIUM
687,6,MEDIUM
688,6,MEDIUM
689,5,LOW
690,5,LOW
691,5,LOW
692,6,MEDIUM
693,6,MEDIUM
694,6,MEDIUM
695,6,MEDIUM
696,4,LOW
697,4,LOW
698,6,MEDIUM
699,5,LOW
700,6,MEDIUM
701,6,MEDIUM
702,6,MEDIUM
703,7,MEDIUM
704,7,MEDIUM
705,8,MEDIUM
706,6,MEDIUM
707,7,MEDIUM
708,7,MEDIUM
709,6,MEDIUM
710,6,MEDIUM
711,6,MEDIUM
712,6,MEDIUM
713,6,MEDIUM
714,5,LOW
715,5,LOW
716,5,LOW
717,4,LOW
718,4,LOW
719,4,LOW
720,4,LOW
721,4,LOW
722,4,LOW
723,4,LOW
724,4,LOW
725,4,LOW
726,4,LOW
727,4,LOW
728,4,LOW
729,4,LOW
730,5,LOW
731,5,LOW
732,4,LOW
733,4,LOW
734,4,LOW
735,4,LOW
736,5,LOW
737,5,LOW
738,4,LOW
739,5,LOW
740,4,LOW
741,3,LOW
742,3,LOW
743,3,LOW
744,3,LOW
745,3,LOW
746,4,LOW
747,4,LOW
748,3,LOW
749,3,LOW
750,5,LOW
751,6,MEDIUM
752,4,LOW
753,4,LOW
754,6,MEDIUM
755,6,MEDIUM
756,3,LOW
757,4,LOW
758,4,LOW
759,6,MEDIUM
760,5,LOW
761,5,LOW
762,4,LOW
763,4,LOW
764,5,LOW
765,6,MEDIUM
766,6,MEDIUM
767,6,MEDIUM
768,5,LOW
769,6,MEDIUM
770,7,MEDIUM
771,7,MEDIUM
772,7,MEDIUM
773,7,MEDIUM
774,8,MEDIUM
775,8,MEDIUM
776,6,MEDIUM
777,7,MEDIUM
778,7,MEDIUM
779,8,MEDIUM
780,7,MEDIUM
781,7,MEDIUM
782,5,LOW
783,5,LOW
784,6,MEDIUM
785,5,LOW
786,5,LOW
787,5,LOW
788,6,MEDIUM
789,6,MEDIUM
790,6,MEDIUM
791,7,MEDIUM
792,8,MEDIUM
793,8,MEDIUM
794,7,MEDIUM
795,6,MEDIUM
796,8,MEDIUM
797,7,MEDIUM
798,9,MEDIUM
799,10,MEDIUM
800,7,MEDIUM
801,9,MEDIUM
802,10,MEDIUM
803,8,MEDIUM
